1.160997732	1.1
2.271927438	1.2
3.482993197	1.3
4.362539683	1.4
5.178049887	2.1
6.271564626	2.2
7.066848073	2.3
8.521723356	2.4
9.032562358	3.1
9.904580499	3.2
10.809546485	3.3
11.551927438	3.4
12.470929705	4.1
13.320634921	4.2
13.676553288	4.3
15.446530612	4.4
16.579047619	5.1
17.438185941	5.2
18.227664399	5.3
19.481541950	5.4
20.549659864	6.1
21.408798186	6.2
22.244716553	6.3
23.382494331	6.4
25.414965986	7.1
26.308208617	7.2
26.981587302	7.3
28.096145125	7.4
29.501678005	8.1
30.511020408	8.2
31.300498866	8.3
32.113197279	8.4
32.998095238	9.1
34.342312925	9.2
35.108571429	9.3
36.287709751	9.4
37.115283447	10.1
38.289705215	10.2
39.207619048	10.3
40.356281179	10.4
41.563718821	11.1
42.559274376	11.2
43.560634921	11.3
44.768072562	11.4
45.940680272	12.1
46.771882086	12.2
48.042086168	12.3
49.042176871	12.4
50.039002268	13.1
51.176780045	13.2
52.432290249	13.3
53.353287982	13.4
54.613333333	14.1
55.881904762	14.2
56.888888889	14.3
58.049886621	14.4
59.438367347	15.1
60.511201814	15.2
61.669478458	15.3
62.814693878	15.4
63.914195011	16.1
65.066485261	16.2
66.060770975	16.3
66.809614512	16.4
68.313106576	17.1
69.497324263	17.2
70.472562358	17.3
71.912199546	17.4
73.351836735	17.5
74.704399093	17.6
77.067029478	18.1
78.135147392	18.2
79.001360544	18.3
80.099047619	18.4
81.084081633	19.1
82.012879819	19.2
82.941678005	19.3
84.056235828	19.4
85.394104308	20.1
86.345034014	20.2
87.131247166	20.3
88.280453515	20.4
89.065941043	21.1
90.564353741	21.2
91.218140590	21.3
92.364625850	21.4
93.506757370	22.1
94.598095238	22.2
95.457233560	22.3
96.827210884	22.4
97.958458050	23.1
98.638367347	23.2
99.915464853	23.3
101.042539683	23.4
102.158185941	24.1
103.328798186	24.2
104.817052154	24.3
105.816870748	24.4
107.371337868	25.1
108.459229025	25.2
109.133786848	25.3
111.033469388	25.4
112.131337868	26.1
113.207800454	26.2
114.768798186	26.3
115.595827664	26.4
116.928979592	26.5
118.015238095	26.6
119.188027211	27.1
119.994920635	27.2
121.388117914	27.3
121.640997732	27.4
122.578140590	28.1
123.683990930	28.2
124.708571429	28.3
125.499319728	28.4
126.316553288	29.1
127.640090703	29.2
128.422403628	29.3
129.426575964	29.4
130.147845805	30.1
131.332063492	30.2
132.214421769	30.3
133.069206349	30.4
134.118458050	31.1
134.907936508	31.2
135.976054422	31.3
136.928072562	31.4
138.367709751	32.1
138.599909297	32.2
139.969886621	32.3
140.620045351	32.4
141.432743764	33.1
142.217324263	33.2
143.130702948	33.3
143.801179138	33.4
144.938956916	34.1
145.591473923	34.2
146.644013605	34.3
147.818231293	34.4
148.468390023	35.1
149.559727891	35.2
150.395646259	35.3
151.254784580	35.4
152.434648526	36.1
153.414240363	36.2
153.948299320	36.3
155.143083900	36.4
156.014875283	37.1
156.655963719	37.2
157.779591837	37.3
158.612244898	37.4
159.647414966	38.1
160.565986395	38.2
161.707573696	38.3
162.532063492	38.4
163.723900227	39.1
165.218684807	39.2
166.254875283	39.3
167.454331066	39.4
168.420136054	40.1
169.531791383	40.2
170.504126984	40.3
171.055963719	40.4
172.164263039	41.1
173.285804989	41.2
174.544399093	41.3
175.325170068	41.4
176.518095238	42.1
177.354013605	42.2
178.422131519	42.3
179.652789116	42.4
180.697687075	43.1
181.382585034	43.2
182.403990930	43.3
183.316825397	43.4
184.618526077	44.1
185.687619048	44.2
186.618775510	44.3
187.872653061	44.4
188.916825397	45.1
190.201904762	45.2
191.425306122	45.3
192.602108844	45.4
193.445442177	46.1
194.142040816	46.2
195.944489796	46.3
196.769523810	46.4
198.553832200	46.5
200.428843537	46.6
201.914920635	47.1
202.727619048	47.2
203.597641723	47.3
204.321451247	47.4
205.478458050	48.1
206.402176871	48.2
207.261315193	48.3
208.242358277	48.4
209.235011338	49.1
210.024489796	49.2
210.837188209	49.3
211.957188209	49.4
212.888163265	50.1
213.716462585	50.2
214.854240363	50.3
215.555192744	50.4
216.544217687	51.1
217.481723356	51.2
218.203718821	51.3
219.005895692	51.4
219.846530612	52.1
221.112743764	52.2
221.750566893	52.3
222.559274376	52.4
223.677823129	53.1
224.629841270	53.2
225.891700680	53.3
226.789297052	53.4
228.182494331	54.1
228.877460317	54.2
229.923990930	54.3
230.984126984	54.4
231.850521542	55.1
232.803265306	55.2
233.425850340	55.3
234.312562358	55.4
235.338594104	56.1
236.239818594	56.2
237.068117914	56.3
237.958095238	56.4
239.068299320	57.1
240.222040816	57.2
241.430566893	57.3
242.230566893	57.4
243.914376417	58.1
244.784761905	58.2
245.463945578	58.3
246.595918367	58.4
247.448163265	59.1
248.430294785	59.2
249.289433107	59.3
250.102131519	59.4
251.007709751	60.1
251.911836735	60.2
253.082267574	60.3
253.725170068	60.4
254.630022676	61.1
255.528344671	61.2
256.232199546	61.3
257.156643991	61.4
258.321995465	62.1
259.294693878	62.2
260.363537415	62.3
261.116734694	62.4
262.334693878	63.1
263.314285714	63.2
264.312743764	63.3
265.380861678	63.4
266.959818594	64.1
267.842176871	64.2
269.026394558	64.3
269.978412698	64.4
271.092970522	65.1
272.246349206	65.2
273.143945578	65.3
273.786485261	65.4
274.854603175	66.1
275.898049887	66.2
276.745578231	66.3
277.778140590	66.4
279.289614512	67.1
280.630544218	67.2
281.495510204	67.3
282.289342404	67.4
283.376326531	68.1
284.106303855	68.2
285.210702948	68.3
286.013242630	68.4
287.262040816	69.1
288.237278912	69.2
