0.0,13.1
1.092653061000004,13.2
2.255510204000004,13.3
3.3293877550000044,13.4
4.396281179000005,14.1
5.663265306000002,14.2
6.982448979000003,14.3
8.022040816000002,14.4
9.340408163000005,15.1
10.460000000000004,15.2
11.677959182999999,15.3
12.767755102000002,15.4
13.940816326000006,16.1
15.087346938000005,16.2
16.089795918000007,16.3
16.998775509999998,16.4
18.276734694,17.1
19.571020408,17.2
20.853469387,17.3
21.909795917999997,17.4
23.32693877300003,17.5
25.05560090700001,17.6
26.978866213000003,18.1
28.163673469000006,18.2
29.348163265,18.3
30.406530612000008,18.4
31.147891156,19.1
32.258503401000006,19.2
33.022766440000005,19.3
34.0969387755,19.4
35.269387755000004,20.1
36.029387755000016,20.2
37.19551020400001,20.3
38.062857143,20.4
39.229523809,21.1
40.323537415000004,21.2
41.135963718,21.3
42.262448979,21.4
43.56734693800001,22.1
44.488888889,22.2
45.4811337865,22.3
46.68702947800001,22.4
47.75764172299999,23.1
48.606621315,23.2
49.674965986,23.3
50.955283446,23.4
52.021950113,24.1
53.311882086,24.2
54.503537415,24.3
55.809795918,24.4
57.47918367300001,25.1
58.51741496600001,25.2
59.437188207999995,25.3
61.073015873,25.4
62.221224489,26.1
63.124807256000004,26.2
64.580045351,26.3
65.586394557,26.4
66.90734693800002,26.5
68.22004535100001,26.6
69.298321995,27.1
69.9661678,27.2
71.050385487,27.3
71.910204081,27.4
72.69931972800002,28.1
73.64167800400001,28.2
74.57659863900001,28.3
75.58734693800001,28.4
76.46530612199999,29.1
77.39555555500002,29.2
78.35755102,29.3
79.35918367300002,29.4
80.145396825,30.1
81.21360544199999,30.2
82.20517006800002,30.3
83.036734694,30.4
84.13578231299999,31.1
84.934285714,31.2
85.98530612199998,31.3
87.020408163,31.4
88.12952380899999,32.1
88.70408163199998,32.2
89.78938775499999,32.3
90.589795918,32.4
91.339319728,33.1
92.161632653,33.2
93.05823129199999,33.3
93.79047618999998,33.4
94.802585034,34.1
95.63539856969231,34.2
96.48696145100001,34.3
97.37351473899999,34.4
98.426031746,35.1
99.18448979600001,35.2
100.289614512,35.3
101.227120181,35.4
102.607256235,36.1
103.281088435,36.2
104.156870748,36.3
105.03637188200001,36.4
105.944807256,37.1
106.68857142800002,37.2
107.850204081,37.3
108.612653061,37.4
109.608503401,38.1
110.604489796,38.2
111.397142857,38.3
112.520952381,38.4
114.194285714,39.1
115.30639455699998,39.2
116.241723356,39.3
117.104761904,39.4
118.420226757,40.1
119.449342403,40.2
120.39979591800001,40.3
121.31673469399999,40.4
122.386394557,41.1
123.40607709700001,41.2
124.541904762,41.3
125.297823129,41.4
126.40195011300001,42.1
127.570839002,42.2
128.452380952,42.3
129.502993197,42.4
130.47909297,43.1
131.382040816,43.2
132.324807256,43.3
133.26544217699998,43.4
134.52986394500002,44.1
135.51659863600003,44.2
136.59160997600003,44.3
137.84730158500003,44.4
138.997505669,45.1
140.191065759,45.2
141.21596371799998,45.3
142.322471655,45.4
143.465804988,46.1
144.568888889,46.2
145.66367346899997,46.3
146.604807256,46.4
147.90231292500002,46.5
149.197959183,46.6
151.58258503400003,47.1
152.57782312900002,47.2
153.401405895,47.3
154.477414966,47.4
155.47836734666666,48.1
156.26965986399998,48.2
157.156598639,48.3
158.29578231300002,48.4
159.19587301599998,49.1
159.97523809499998,49.2
160.772426304,49.3
161.79129251700002,49.4
162.82612244900002,50.1
