1.754557823	1.1
2.736326531	1.2
3.696326531	1.3
4.687619048	1.4
5.572789116	2.1
6.550204082	2.2
7.438367347	2.3
8.391836735	2.4
9.182040816	3.1
10.160000000	3.2
11.088185941	3.3
12.016326531	3.4
13.121088435	4.1
14.063673469	4.2
15.040000000	4.3
16.003809524	4.4
16.969433107	5.1
17.942857143	5.2
18.897959184	5.3
19.853061224	5.4
20.947301587	6.1
22.055328798	6.2
23.027664399	6.3
24.011791383	6.4
25.345306122	7.1
26.248888889	7.2
27.182222222	7.3
28.099773243	7.4
29.524897959	8.1
30.391519274	8.2
31.339682540	8.3
32.286621315	8.4
33.485714286	9.1
34.351746032	9.2
35.353469388	9.3
36.473469388	9.4
37.417142857	10.1
38.413061224	10.2
39.346938776	10.3
40.372244898	10.4
41.460680272	11.1
42.327074830	11.2
43.315918367	11.3
44.321632653	11.4
45.522721088	12.1
46.377142857	12.2
47.604897959	12.3
48.484897959	12.4
49.404081633	13.1
50.476734694	13.2
51.619591837	13.3
52.633469388	13.4
53.700362812	14.1
54.767346939	14.2
56.006530612	14.3
56.986122449	14.4
58.184489796	15.1
59.244081633	15.2
60.462040816	15.3
61.351836735	15.4
62.404897959	16.1
63.371428571	16.2
64.533877551	16.3
65.462857143	16.4
66.840816327	17.1
67.915102041	17.2
69.157551020	17.3
70.213877551	17.4
71.613061224	17.5
72.939682540	17.6
74.702947846	18.1
75.867755102	18.2
76.772244898	18.3
77.730612245	18.4
78.731972789	19.1
79.662585034	19.2
80.586848073	19.3
81.671836735	19.4
82.793469388	20.1
83.697959184	20.2
84.739591837	20.3
85.586938776	20.4
86.813605442	21.1
87.847619048	21.2
88.780045351	21.3
89.926530612	21.4
90.971428571	22.1
91.892970522	22.2
92.966349206	22.3
94.071111111	22.4
95.241723356	23.1
96.090702948	23.2
97.219047619	23.3
98.279365079	23.4
99.186031746	24.1
100.175963719	24.2
101.287619048	24.3
102.333877551	24.4
103.563265306	25.1
104.581496599	25.2
105.761269841	25.3
106.877097506	25.4
107.905306122	26.1
108.888888889	26.2
110.264126984	26.3
111.230476190	26.4
112.331428571	26.5
113.464126984	26.6
114.502403628	27.1
115.490249433	27.2
116.674467120	27.3
117.554285714	27.4
118.343401361	28.1
119.225759637	28.2
120.180680272	28.3
120.971428571	28.4
122.109387755	29.1
122.959637188	29.2
123.801632653	29.3
124.643265306	29.4
125.429478458	30.1
126.297687075	30.2
127.129251701	30.3
127.960816327	30.4
